provincia,año,total,total_dif,asalariados_0,asalariados_0_dif,asalariados_1_2,asalariados_1_2_dif,asalariados_3_5,asalariados_3_5_dif,asalariados_6_9,asalariados_6_9_dif,asalariados_10_19,asalariados_10_19_dif,asalariados_20_49,asalariados_20_49_dif,asalariados_50_99,asalariados_50_99_dif,asalariados_100_199,asalariados_100_199_dif,asalariados_200_499,asalariados_200_499_dif,asalariados_500_999,asalariados_500_999_dif,asalariados_1000_4999,asalariados_1000_4999_dif,asalariados_5000,asalariados_5000_dif
Burgos,2012,25196,-12,14025,19,6521,309,2354,-251,1062,-29,674,-22,381,-37,110,9,42,-1,17,-6,7,-2,3,-1,0,0
Burgos,2011,25208,-189,14006,307,6212,-434,2605,-21,1091,-23,696,-7,418,-2,101,-6,43,0,23,-5,9,1,4,1,0,0
Burgos,2010,25397,-170,13699,87,6646,-115,2626,17,1114,2,703,-98,420,-45,107,-6,43,-10,28,-2,8,1,3,-1,0,0
Burgos,2009,25567,-324,13612,206,6761,-329,2609,-61,1112,-82,801,-31,465,-9,113,-8,53,-1,30,-8,7,0,4,-1,0,0
Burgos,2008,25891,519,13406,393,7090,46,2670,3,1194,10,832,21,474,35,121,4,54,2,38,4,7,1,5,0,0,0
Burgos,2007,25372,868,13013,405,7044,219,2667,133,1184,47,811,29,439,25,117,12,52,-3,34,-1,6,0,5,2,0,0
Burgos,2006,24504,771,12608,314,6825,210,2534,127,1137,29,782,61,414,34,105,-11,55,4,35,2,6,1,3,0,0,0
Burgos,2005,23733,851,12294,451,6615,294,2407,18,1108,15,721,19,380,32,116,19,51,-1,33,4,5,0,3,0,0,0
Burgos,2004,22882,723,11843,140,6321,336,2389,130,1093,89,702,28,348,-2,97,4,52,2,29,-4,5,0,3,0,0,0
Burgos,2003,22159,573,11703,119,5985,328,2259,107,1004,-1,674,37,350,-17,93,-10,50,0,33,7,5,1,3,2,0,0
Burgos,2002,21586,271,11584,-59,5657,129,2152,81,1005,71,637,8,367,31,103,15,50,-3,26,-2,4,0,1,0,0,0
Burgos,2001,21315,-178,11643,-437,5528,101,2071,42,934,116,629,-4,336,-15,88,2,53,8,28,6,4,3,1,0,0,0
Burgos,2000,21493,611,12080,179,5427,178,2029,123,818,17,633,76,351,23,86,10,45,7,22,-2,1,0,1,0,0,0
Burgos,1999,20882,NULL,11901,NULL,5249,NULL,1906,NULL,801,NULL,557,NULL,328,NULL,76,NULL,38,NULL,24,NULL,1,NULL,1,NULL,0,NULL
Cáceres,2012,25238,-439,14263,-164,6962,129,2187,-243,924,-100,550,-42,248,-18,68,2,27,-2,7,0,1,0,1,-1,0,0
Cáceres,2011,25677,-157,14427,170,6833,-224,2430,-37,1024,-13,592,6,266,-43,66,-8,29,-6,7,-1,1,-2,2,1,0,0
Cáceres,2010,25834,-473,14257,-301,7057,-36,2467,-20,1037,-38,586,-52,309,-31,74,1,35,4,8,-1,3,1,1,0,0,0
Cáceres,2009,26307,-187,14558,218,7093,-140,2487,-147,1075,-19,638,-63,340,-17,73,-7,31,-7,9,-6,2,1,1,0,0,0
Cáceres,2008,26494,430,14340,-41,7233,221,2634,149,1094,32,701,44,357,9,80,4,38,11,15,4,1,-3,1,0,0,0
Cáceres,2007,26064,1025,14381,455,7012,267,2485,182,1062,54,657,32,348,21,76,12,27,0,11,2,4,0,1,0,0,0
Cáceres,2006,25039,193,13926,-119,6745,215,2303,31,1008,19,625,34,327,14,64,-2,27,1,9,0,4,0,1,0,0,0
Cáceres,2005,24846,4250,14045,3609,6530,450,2272,62,989,53,591,29,313,29,66,19,26,0,9,-1,4,0,1,0,0,0
Cáceres,2004,20596,-2844,10436,-2540,6080,-308,2210,29,936,-19,562,-16,284,9,47,-1,26,6,10,-3,4,0,1,-1,0,0
Cáceres,2003,23440,65,12976,-349,6388,368,2181,-27,955,8,578,43,275,24,48,-5,20,-3,13,1,4,4,2,1,0,0
Cáceres,2002,23375,8926,13325,6048,6020,2094,2208,507,947,179,535,78,251,13,53,6,23,1,12,0,0,0,1,0,0,0
Cáceres,2001,14449,114,7277,-51,3926,70,1701,45,768,71,457,-17,238,-14,47,10,22,2,12,-2,0,0,1,0,0,0
Cáceres,2000,14335,-458,7328,351,3856,-826,1656,-46,697,36,474,-14,252,40,37,-5,20,6,14,1,0,-1,1,0,0,0
Cáceres,1999,14793,NULL,6977,NULL,4682,NULL,1702,NULL,661,NULL,488,NULL,212,NULL,42,NULL,14,NULL,13,NULL,1,NULL,1,NULL,0,NULL
Cádiz,2012,59027,-1157,30453,-728,17413,410,6070,-511,2673,-88,1375,-173,732,-32,194,-22,84,-9,25,-3,4,-2,4,1,0,0
Cádiz,2011,60184,-872,31181,107,17003,-748,6581,56,2761,-122,1548,-32,764,-89,216,-24,93,-12,28,-8,6,1,3,-1,0,0
Cádiz,2010,61056,-1761,31074,-204,17751,-519,6525,-316,2883,-196,1580,-344,853,-128,240,-36,105,-21,36,2,5,2,4,-1,0,0
Cádiz,2009,62817,-1688,31278,-84,18270,-433,6841,-328,3079,-307,1924,-257,981,-186,276,-32,126,-26,34,-26,3,-9,5,0,0,0
Cádiz,2008,64505,1167,31362,145,18703,698,7169,99,3386,129,2181,83,1167,-2,308,-2,152,10,60,5,12,3,5,-1,0,0
Cádiz,2007,63338,1647,31217,-202,18005,1165,7070,464,3257,72,2098,82,1169,25,310,21,142,14,55,6,9,-2,6,2,0,0
Cádiz,2006,61691,2705,31419,1044,16840,758,6606,411,3185,229,2016,167,1144,80,289,9,128,8,49,-4,11,4,4,-1,0,0
Cádiz,2005,58986,1848,30375,754,16082,573,6195,92,2956,229,1849,56,1064,88,280,39,120,11,53,6,7,0,5,0,0,0
